created_at,entry_id,field1,field2,field3
2023-02-07 09:20:41 UTC,1308,26.59505,22,24
2023-02-07 09:20:56 UTC,1309,23.50260,22,24
2023-02-07 09:21:13 UTC,1310,20.63802,22,24
2023-02-07 09:21:42 UTC,1311,27.92969,22,23
2023-02-10 09:40:30 UTC,1312,24.90234,23,24
2023-02-10 09:40:55 UTC,1313,25.03255,23,24
2023-02-10 09:41:11 UTC,1314,25.00000,23,24
2023-02-10 09:41:27 UTC,1315,25.03255,23,24
2023-02-10 09:41:43 UTC,1316,25.09766,23,24
2023-02-10 09:41:59 UTC,1317,24.96745,23,24
2023-02-10 09:42:15 UTC,1318,25.13021,23,24
2023-02-10 09:42:31 UTC,1319,25.19531,23,24
2023-02-10 09:42:47 UTC,1320,25.22787,23,25
2023-02-10 09:43:03 UTC,1321,25.19531,23,24
2023-02-10 09:43:24 UTC,1322,25.13021,23,24
2023-02-10 09:44:14 UTC,1323,25.03255,23,24
2023-02-10 09:44:40 UTC,1324,25.09766,23,24
2023-02-10 09:44:56 UTC,1325,24.93490,23,24
2023-02-10 09:45:12 UTC,1326,24.93490,23,24
2023-02-10 09:45:28 UTC,1327,25.00000,23,24
2023-02-10 09:45:44 UTC,1328,24.93490,23,24
2023-02-10 09:46:00 UTC,1329,24.93490,23,24
2023-02-10 09:46:16 UTC,1330,24.96745,23,24
2023-02-10 09:46:32 UTC,1331,24.96745,23,24
2023-02-10 09:46:48 UTC,1332,25.06510,23,24
2023-02-10 09:47:04 UTC,1333,25.00000,23,24
2023-02-10 09:47:20 UTC,1334,24.93490,23,24
2023-02-10 09:47:52 UTC,1335,24.83724,23,24
2023-02-10 09:48:08 UTC,1336,24.67448,23,24
2023-02-10 09:48:24 UTC,1337,24.86979,23,24
2023-02-10 09:48:40 UTC,1338,24.67448,23,24
2023-02-10 09:48:56 UTC,1339,24.60938,23,24
2023-02-10 09:49:12 UTC,1340,24.60938,23,24
2023-02-10 12:56:23 UTC,1341,25.61849,24,25
2023-02-10 12:56:53 UTC,1342,25.58594,24,25
2023-02-10 12:57:09 UTC,1343,25.48828,24,25
2023-02-10 12:57:25 UTC,1344,25.42318,24,25
2023-02-10 12:57:41 UTC,1345,25.45573,24,25
2023-02-10 12:57:56 UTC,1346,25.45573,23,25
2023-02-10 12:58:12 UTC,1347,25.35807,23,25
2023-02-10 12:58:28 UTC,1348,25.42318,23,25
2023-02-10 12:58:44 UTC,1349,25.35807,23,25
2023-02-10 12:59:00 UTC,1350,25.48828,23,25
2023-02-10 12:59:16 UTC,1351,25.45573,24,25
2023-02-10 12:59:32 UTC,1352,25.45573,24,25
2023-02-10 12:59:47 UTC,1353,25.61849,24,25
2023-02-10 13:00:03 UTC,1354,25.55338,24,25
2023-02-10 13:00:19 UTC,1355,25.55338,24,25
2023-02-10 13:00:35 UTC,1356,25.58594,24,25
2023-02-10 13:00:51 UTC,1357,25.78125,24,25
2023-02-10 13:01:06 UTC,1358,25.71615,24,25
2023-02-10 13:01:22 UTC,1359,25.87891,24,25
2023-02-10 13:01:38 UTC,1360,25.87891,24,25
2023-02-10 13:01:54 UTC,1361,25.26042,24,25
2023-02-10 13:02:41 UTC,1362,12.27214,21,24
2023-02-10 13:02:57 UTC,1363,13.57422,20,24
2023-02-10 13:03:13 UTC,1364,13.67188,20,24
2023-02-10 13:03:29 UTC,1365,13.57422,20,24
2023-02-10 13:03:45 UTC,1366,12.89063,19,24
2023-02-10 13:04:00 UTC,1367,12.50000,19,24
2023-02-10 13:04:16 UTC,1368,12.23958,19,23
2023-02-10 13:04:32 UTC,1369,12.66276,19,23
2023-02-10 13:04:48 UTC,1370,13.28125,18,23
2023-02-10 13:05:04 UTC,1371,15.69010,18,19
2023-02-10 13:05:19 UTC,1372,21.09375,19,17
2023-02-10 13:05:35 UTC,1373,23.53516,19,15
2023-02-10 13:05:51 UTC,1374,25.00000,19,14
2023-02-10 13:06:07 UTC,1375,26.13932,19,13
2023-02-10 13:06:23 UTC,1376,25.45573,20,13
2023-02-10 13:06:39 UTC,1377,23.56771,20,12
2023-02-10 13:06:54 UTC,1378,22.98177,20,12
2023-02-10 13:07:10 UTC,1379,22.62370,20,12
2023-02-10 13:07:26 UTC,1380,22.72135,20,12
2023-02-10 13:07:42 UTC,1381,22.68880,20,12
2023-02-10 13:07:58 UTC,1382,22.81901,20,12
2023-02-10 13:08:14 UTC,1383,23.04688,20,12
2023-02-10 13:08:29 UTC,1384,23.01432,21,12
2023-02-10 13:09:01 UTC,1385,23.24219,20,12
2023-02-10 13:09:17 UTC,1386,23.24219,20,12
2023-02-10 13:09:32 UTC,1387,23.40495,22,11
2023-02-10 13:09:48 UTC,1388,23.63281,25,11
2023-02-10 13:10:04 UTC,1389,23.69792,24,11
2023-02-10 13:10:20 UTC,1390,23.69792,23,10
2023-02-10 13:10:36 UTC,1391,23.82813,24,11
2023-02-10 13:10:52 UTC,1392,24.02344,24,10
2023-02-10 13:11:07 UTC,1393,23.82813,23,9
2023-02-10 13:11:23 UTC,1394,23.79557,22,8
2023-02-10 13:11:39 UTC,1395,23.92578,23,8
2023-02-10 13:11:55 UTC,1396,24.18620,25,8
2023-02-10 13:12:11 UTC,1397,24.12109,24,8
2023-02-10 13:12:26 UTC,1398,23.95833,23,7
2023-02-10 13:12:42 UTC,1399,23.92578,22,8
2023-02-10 13:13:00 UTC,1400,23.99088,21,8
2023-02-10 13:13:30 UTC,1401,24.12109,23,8
2023-02-10 13:13:45 UTC,1402,23.99088,22,8
2023-02-10 13:14:01 UTC,1403,23.99088,21,10
2023-02-10 13:14:17 UTC,1404,23.99088,21,11
2023-02-10 13:14:33 UTC,1405,23.86068,22,11
2023-02-10 13:14:49 UTC,1406,23.99088,21,14
2023-02-10 13:15:05 UTC,1407,24.12109,21,16
